passenger_id,pclass,survived,name,sex,age,ticket,fare,embarked
0,1,1,Allen. Miss. Elisabeth Walton,1,29.0,24160,211.3375,0
1,1,1,Allison. Master. Hudson Trevor,0,0.9167,113781,151.55,0
2,1,0,Allison. Miss. Helen Loraine,1,2.0,113781,151.55,0
3,1,0,Allison. Mr. Hudson Joshua Creighton,0,30.0,113781,151.55,0
4,1,0,Allison. Mrs. Hudson J C (Bessie Waldo Daniels),1,25.0,113781,151.55,0
5,1,1,Anderson. Mr. Harry,0,48.0,19952,26.55,0
6,1,1,Andrews. Miss. Kornelia Theodosia,1,63.0,13502,77.9583,0
7,1,0,Andrews. Mr. Thomas Jr,0,39.0,112050,0.0,0
8,1,1,Appleton. Mrs. Edward Dale (Charlotte Lamson),1,53.0,11769,51.4792,0
9,1,0,Artagaveytia. Mr. Ramon,0,71.0,PC 17609,49.5042,1
10,1,0,Astor. Col. John Jacob,0,47.0,PC 17757,227.525,1
11,1,1,Astor. Mrs. John Jacob (Madeleine Talmadge Force),1,18.0,PC 17757,227.525,1
12,1,1,Aubart. Mme. Leontine Pauline,1,24.0,PC 17477,69.3,1
13,1,1,"Barber. Miss. Ellen ""Nellie""",1,26.0,19877,78.85,0
14,1,1,Barkworth. Mr. Algernon Henry Wilson,0,80.0,27042,30.0,0
15,1,0,Baumann. Mr. John D,0,29.8811345124283,PC 17318,25.925,0
16,1,0,Baxter. Mr. Quigg Edmond,0,24.0,PC 17558,247.5208,1
17,1,1,Baxter. Mrs. James (Helene DeLaudeniere Chaput),1,50.0,PC 17558,247.5208,1
18,1,1,Bazzani. Miss. Albina,1,32.0,11813,76.2917,1
19,1,0,Beattie. Mr. Thomson,0,36.0,13050,75.2417,1
20,1,1,Beckwith. Mr. Richard Leonard,0,37.0,11751,52.5542,0
21,1,1,Beckwith. Mrs. Richard Leonard (Sallie Monypeny),1,47.0,11751,52.5542,0
22,1,1,Behr. Mr. Karl Howell,0,26.0,111369,30.0,1
23,1,1,Bidois. Miss. Rosalie,1,42.0,PC 17757,227.525,1
24,1,1,Bird. Miss. Ellen,1,29.0,PC 17483,221.7792,0
25,1,0,Birnbaum. Mr. Jakob,0,25.0,13905,26.0,1
26,1,1,Bishop. Mr. Dickinson H,0,25.0,11967,91.0792,1
27,1,1,Bishop. Mrs. Dickinson H (Helen Walton),1,19.0,11967,91.0792,1
28,1,1,Bissette. Miss. Amelia,1,35.0,PC 17760,135.6333,0
29,1,1,Bjornstrom-Steffansson. Mr. Mauritz Hakan,0,28.0,110564,26.55,0
30,1,0,Blackwell. Mr. Stephen Weart,0,45.0,113784,35.5,0
31,1,1,Blank. Mr. Henry,0,40.0,112277,31.0,1
32,1,1,Bonnell. Miss. Caroline,1,30.0,36928,164.8667,0
33,1,1,Bonnell. Miss. Elizabeth,1,58.0,113783,26.55,0
34,1,0,Borebank. Mr. John James,0,42.0,110489,26.55,0
35,1,1,Bowen. Miss. Grace Scott,1,45.0,PC 17608,262.375,1
36,1,1,Bowerman. Miss. Elsie Edith,1,22.0,113505,55.0,0
37,1,1,"Bradley. Mr. George (""George Arthur Brayton"")",0,29.8811345124283,111427,26.55,0
38,1,0,Brady. Mr. John Bertram,0,41.0,113054,30.5,0
39,1,0,Brandeis. Mr. Emil,0,48.0,PC 17591,50.4958,1
40,1,0,Brewe. Dr. Arthur Jackson,0,29.8811345124283,112379,39.6,1
41,1,1,Brown. Mrs. James Joseph (Margaret Tobin),1,44.0,PC 17610,27.7208,1
42,1,1,Brown. Mrs. John Murray (Caroline Lane Lamson),1,59.0,11769,51.4792,0
43,1,1,Bucknell. Mrs. William Robert (Emma Eliza Ward),1,60.0,11813,76.2917,1
44,1,1,Burns. Miss. Elizabeth Margaret,1,41.0,16966,134.5,1
45,1,0,Butt. Major. Archibald Willingham,0,45.0,113050,26.55,0
46,1,0,Cairns. Mr. Alexander,0,29.8811345124283,113798,31.0,0
47,1,1,Calderhead. Mr. Edward Pennington,0,42.0,PC 17476,26.2875,0
48,1,1,Candee. Mrs. Edward (Helen Churchill Hungerford),1,53.0,PC 17606,27.4458,1
49,1,1,Cardeza. Mr. Thomas Drake Martinez,0,36.0,PC 17755,512.3292,1
50,1,1,Cardeza. Mrs. James Warburton Martinez (Charlotte Wardle Drake),1,58.0,PC 17755,512.3292,1
51,1,0,Carlsson. Mr. Frans Olof,0,33.0,695,5.0,0
52,1,0,Carrau. Mr. Francisco M,0,28.0,113059,47.1,0
53,1,0,Carrau. Mr. Jose Pedro,0,17.0,113059,47.1,0
54,1,1,Carter. Master. William Thornton II,0,11.0,113760,120.0,0
55,1,1,Carter. Miss. Lucile Polk,1,14.0,113760,120.0,0
56,1,1,Carter. Mr. William Ernest,0,36.0,113760,120.0,0
57,1,1,Carter. Mrs. William Ernest (Lucile Polk),1,36.0,113760,120.0,0
58,1,0,Case. Mr. Howard Brown,0,49.0,19924,26.0,0
59,1,1,Cassebeer. Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick),1,29.8811345124283,17770,27.7208,1
60,1,0,Cavendish. Mr. Tyrell William,0,36.0,19877,78.85,0
61,1,1,Cavendish. Mrs. Tyrell William (Julia Florence Siegel),1,76.0,19877,78.85,0
62,1,0,Chaffee. Mr. Herbert Fuller,0,46.0,W.E.P. 5734,61.175,0
63,1,1,Chaffee. Mrs. Herbert Fuller (Carrie Constance Toogood),1,47.0,W.E.P. 5734,61.175,0
64,1,1,Chambers. Mr. Norman Campbell,0,27.0,113806,53.1,0
65,1,1,Chambers. Mrs. Norman Campbell (Bertha Griggs),1,33.0,113806,53.1,0
66,1,1,Chaudanson. Miss. Victorine,1,36.0,PC 17608,262.375,1
67,1,1,Cherry. Miss. Gladys,1,30.0,110152,86.5,0
68,1,1,Chevre. Mr. Paul Romaine,0,45.0,PC 17594,29.7,1
69,1,1,Chibnall. Mrs. (Edith Martha Bowerman),1,29.8811345124283,113505,55.0,0
70,1,0,Chisholm. Mr. Roderick Robert Crispin,0,29.8811345124283,112051,0.0,0
71,1,0,Clark. Mr. Walter Miller,0,27.0,13508,136.7792,1
72,1,1,Clark. Mrs. Walter Miller (Virginia McDowell),1,26.0,13508,136.7792,1
73,1,1,Cleaver. Miss. Alice,1,22.0,113781,151.55,0
74,1,0,Clifford. Mr. George Quincy,0,29.8811345124283,110465,52.0,0
75,1,0,Colley. Mr. Edward Pomeroy,0,47.0,5727,25.5875,0
76,1,1,Compton. Miss. Sara Rebecca,1,39.0,PC 17756,83.1583,1
77,1,0,Compton. Mr. Alexander Taylor Jr,0,37.0,PC 17756,83.1583,1
78,1,1,Compton. Mrs. Alexander Taylor (Mary Eliza Ingersoll),1,64.0,PC 17756,83.1583,1
79,1,1,Cornell. Mrs. Robert Clifford (Malvina Helen Lamson),1,55.0,11770,25.7,0
80,1,0,Crafton. Mr. John Bertram,0,29.8811345124283,113791,26.55,0
81,1,0,Crosby. Capt. Edward Gifford,0,70.0,WE/P 5735,71.0,0
82,1,1,Crosby. Miss. Harriet R,1,36.0,WE/P 5735,71.0,0
83,1,1,Crosby. Mrs. Edward Gifford (Catherine Elizabeth Halstead),1,64.0,112901,26.55,0
84,1,0,Cumings. Mr. John Bradley,0,39.0,PC 17599,71.2833,1
85,1,1,Cumings. Mrs. John Bradley (Florence Briggs Thayer),1,38.0,PC 17599,71.2833,1
86,1,1,Daly. Mr. Peter Denis ,0,51.0,113055,26.55,0
87,1,1,Daniel. Mr. Robert Williams,0,27.0,113804,30.5,0
88,1,1,Daniels. Miss. Sarah,1,33.0,113781,151.55,0
89,1,0,Davidson. Mr. Thornton,0,31.0,F.C. 12750,52.0,0
90,1,1,Davidson. Mrs. Thornton (Orian Hays),1,27.0,F.C. 12750,52.0,0
91,1,1,Dick. Mr. Albert Adrian,0,31.0,17474,57.0,0
92,1,1,Dick. Mrs. Albert Adrian (Vera Gillespie),1,17.0,17474,57.0,0
93,1,1,Dodge. Dr. Washington,0,53.0,33638,81.8583,0
94,1,1,Dodge. Master. Washington,0,4.0,33638,81.8583,0
95,1,1,Dodge. Mrs. Washington (Ruth Vidaver),1,54.0,33638,81.8583,0
96,1,0,Douglas. Mr. Walter Donald,0,50.0,PC 17761,106.425,1
97,1,1,Douglas. Mrs. Frederick Charles (Mary Helene Baxter),1,27.0,PC 17558,247.5208,1
98,1,1,Douglas. Mrs. Walter Donald (Mahala Dutton),1,48.0,PC 17761,106.425,1
99,1,1,"Duff Gordon. Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",1,48.0,11755,39.6,1
100,1,1,"Duff Gordon. Sir. Cosmo Edmund (""Mr Morgan"")",0,49.0,PC 17485,56.9292,1
101,1,0,Dulles. Mr. William Crothers,0,39.0,PC 17580,29.7,1
102,1,1,Earnshaw. Mrs. Boulton (Olive Potter),1,23.0,11767,83.1583,1
103,1,1,Endres. Miss. Caroline Louise,1,38.0,PC 17757,227.525,1
104,1,1,Eustis. Miss. Elizabeth Mussey,1,54.0,36947,78.2667,1
105,1,0,Evans. Miss. Edith Corse,1,36.0,PC 17531,31.6792,1
106,1,0,Farthing. Mr. John,0,29.8811345124283,PC 17483,221.7792,0
107,1,1,Flegenheim. Mrs. Alfred (Antoinette),1,29.8811345124283,PC 17598,31.6833,0
108,1,1,Fleming. Miss. Margaret,1,29.8811345124283,17421,110.8833,1
109,1,1,"Flynn. Mr. John Irwin (""Irving"")",0,36.0,PC 17474,26.3875,0
110,1,0,Foreman. Mr. Benjamin Laventall,0,30.0,113051,27.75,1
111,1,1,Fortune. Miss. Alice Elizabeth,1,24.0,19950,263.0,0
112,1,1,Fortune. Miss. Ethel Flora,1,28.0,19950,263.0,0
113,1,1,Fortune. Miss. Mabel Helen,1,23.0,19950,263.0,0
114,1,0,Fortune. Mr. Charles Alexander,0,19.0,19950,263.0,0
115,1,0,Fortune. Mr. Mark,0,64.0,19950,263.0,0
116,1,1,Fortune. Mrs. Mark (Mary McDougald),1,60.0,19950,263.0,0
117,1,1,Francatelli. Miss. Laura Mabel,1,30.0,PC 17485,56.9292,1
118,1,0,Franklin. Mr. Thomas Parham,0,29.8811345124283,113778,26.55,0
119,1,1,Frauenthal. Dr. Henry William,0,50.0,PC 17611,133.65,0
120,1,1,Frauenthal. Mr. Isaac Gerald,0,43.0,17765,27.7208,1
121,1,1,Frauenthal. Mrs. Henry William (Clara Heinsheimer),1,29.8811345124283,PC 17611,133.65,0
122,1,1,Frolicher. Miss. Hedwig Margaritha,1,22.0,13568,49.5,1
123,1,1,Frolicher-Stehli. Mr. Maxmillian,0,60.0,13567,79.2,1
124,1,1,Frolicher-Stehli. Mrs. Maxmillian (Margaretha Emerentia Stehli),1,48.0,13567,79.2,1
125,1,0,Fry. Mr. Richard,0,29.8811345124283,112058,0.0,0
126,1,0,Futrelle. Mr. Jacques Heath,0,37.0,113803,53.1,0
127,1,1,Futrelle. Mrs. Jacques Heath (Lily May Peel),1,35.0,113803,53.1,0
128,1,0,Gee. Mr. Arthur H,0,47.0,111320,38.5,0
129,1,1,Geiger. Miss. Amalie,1,35.0,113503,211.5,1
130,1,1,Gibson. Miss. Dorothy Winifred,1,22.0,112378,59.4,1
131,1,1,Gibson. Mrs. Leonard (Pauline C Boeson),1,45.0,112378,59.4,1
132,1,0,Giglio. Mr. Victor,0,24.0,PC 17593,79.2,1
133,1,1,Goldenberg. Mr. Samuel L,0,49.0,17453,89.1042,1
134,1,1,Goldenberg. Mrs. Samuel L (Edwiga Grabowska),1,29.8811345124283,17453,89.1042,1
135,1,0,Goldschmidt. Mr. George B,0,71.0,PC 17754,34.6542,1
136,1,1,Gracie. Col. Archibald IV,0,53.0,113780,28.5,1
137,1,1,Graham. Miss. Margaret Edith,1,19.0,112053,30.0,0
138,1,0,Graham. Mr. George Edward,0,38.0,PC 17582,153.4625,0
139,1,1,Graham. Mrs. William Thompson (Edith Junkins),1,58.0,PC 17582,153.4625,0
140,1,1,Greenfield. Mr. William Bertram,0,23.0,PC 17759,63.3583,1
141,1,1,Greenfield. Mrs. Leo David (Blanche Strouse),1,45.0,PC 17759,63.3583,1
142,1,0,Guggenheim. Mr. Benjamin,0,46.0,PC 17593,79.2,1
143,1,1,Harder. Mr. George Achilles,0,25.0,11765,55.4417,1
144,1,1,Harder. Mrs. George Achilles (Dorothy Annan),1,25.0,11765,55.4417,1
145,1,1,Harper. Mr. Henry Sleeper,0,48.0,PC 17572,76.7292,1
146,1,1,Harper. Mrs. Henry Sleeper (Myna Haxtun),1,49.0,PC 17572,76.7292,1
147,1,0,Harrington. Mr. Charles H,0,29.8811345124283,113796,42.4,0
148,1,0,Harris. Mr. Henry Birkhardt,0,45.0,36973,83.475,0
149,1,1,Harris. Mrs. Henry Birkhardt (Irene Wallach),1,35.0,36973,83.475,0
150,1,0,Harrison. Mr. William,0,40.0,112059,0.0,0
151,1,1,Hassab. Mr. Hammad,0,27.0,PC 17572,76.7292,1
152,1,1,Hawksford. Mr. Walter James,0,29.8811345124283,16988,30.0,0
153,1,1,Hays. Miss. Margaret Bechstein,1,24.0,11767,83.1583,1
154,1,0,Hays. Mr. Charles Melville,0,55.0,12749,93.5,0
155,1,1,Hays. Mrs. Charles Melville (Clara Jennings Gregg),1,52.0,12749,93.5,0
156,1,0,Head. Mr. Christopher,0,42.0,113038,42.5,0
157,1,0,Hilliard. Mr. Herbert Henry,0,29.8811345124283,17463,51.8625,0
158,1,0,Hipkins. Mr. William Edward,0,55.0,680,50.0,0
159,1,1,Hippach. Miss. Jean Gertrude,1,16.0,111361,57.9792,1
160,1,1,Hippach. Mrs. Louis Albert (Ida Sophia Fischer),1,44.0,111361,57.9792,1
161,1,1,Hogeboom. Mrs. John C (Anna Andrews),1,51.0,13502,77.9583,0
162,1,0,Holverson. Mr. Alexander Oskar,0,42.0,113789,52.0,0
163,1,1,Holverson. Mrs. Alexander Oskar (Mary Aline Towner),1,35.0,113789,52.0,0
164,1,1,"Homer. Mr. Harry (""Mr E Haven"")",0,35.0,111426,26.55,1
165,1,1,Hoyt. Mr. Frederick Maxfield,0,38.0,19943,90.0,0
166,1,0,Hoyt. Mr. William Fisher,0,29.8811345124283,PC 17600,30.6958,1
167,1,1,Hoyt. Mrs. Frederick Maxfield (Jane Anne Forby),1,35.0,19943,90.0,0
168,1,1,Icard. Miss. Amelie,1,38.0,113572,80.0,0
169,1,0,Isham. Miss. Ann Elizabeth,1,50.0,PC 17595,28.7125,1
170,1,1,Ismay. Mr. Joseph Bruce,0,49.0,112058,0.0,0
171,1,0,Jones. Mr. Charles Cresson,0,46.0,694,26.0,0
172,1,0,Julian. Mr. Henry Forbes,0,50.0,113044,26.0,0
173,1,0,Keeping. Mr. Edwin,0,32.5,113503,211.5,1
174,1,0,Kent. Mr. Edward Austin,0,58.0,11771,29.7,1
175,1,0,Kenyon. Mr. Frederick R,0,41.0,17464,51.8625,0
176,1,1,Kenyon. Mrs. Frederick R (Marion),1,29.8811345124283,17464,51.8625,0
177,1,1,Kimball. Mr. Edwin Nelson Jr,0,42.0,11753,52.5542,0
178,1,1,Kimball. Mrs. Edwin Nelson Jr (Gertrude Parsons),1,45.0,11753,52.5542,0
179,1,0,Klaber. Mr. Herman,0,29.8811345124283,113028,26.55,0
180,1,1,Kreuchen. Miss. Emilie,1,39.0,24160,211.3375,0
181,1,1,Leader. Dr. Alice (Farnham),1,49.0,17465,25.9292,0
182,1,1,LeRoy. Miss. Bertha,1,30.0,PC 17761,106.425,1
183,1,1,Lesurer. Mr. Gustave J,0,35.0,PC 17755,512.3292,1
184,1,0,Lewy. Mr. Ervin G,0,29.8811345124283,PC 17612,27.7208,1
185,1,0,"Lindeberg-Lind. Mr. Erik Gustaf (""Mr Edward Lingrey"")",0,42.0,17475,26.55,0
186,1,1,Lindstrom. Mrs. Carl Johan (Sigrid Posse),1,55.0,112377,27.7208,1
187,1,1,Lines. Miss. Mary Conover,1,16.0,PC 17592,39.4,0
188,1,1,Lines. Mrs. Ernest H (Elizabeth Lindsey James),1,51.0,PC 17592,39.4,0
189,1,0,Long. Mr. Milton Clyde,0,29.0,113501,30.0,0
190,1,1,Longley. Miss. Gretchen Fiske,1,21.0,13502,77.9583,0
191,1,0,Loring. Mr. Joseph Holland,0,30.0,113801,45.5,0
192,1,1,Lurette. Miss. Elise,1,58.0,PC 17569,146.5208,1
193,1,1,Madill. Miss. Georgette Alexandra,1,15.0,24160,211.3375,0
194,1,0,Maguire. Mr. John Edward,0,30.0,110469,26.0,0
195,1,1,Maioni. Miss. Roberta,1,16.0,110152,86.5,0
196,1,1,Marechal. Mr. Pierre,0,29.8811345124283,11774,29.7,1
197,1,0,Marvin. Mr. Daniel Warner,0,19.0,113773,53.1,0
198,1,1,Marvin. Mrs. Daniel Warner (Mary Graham Carmichael Farquarson),1,18.0,113773,53.1,0
199,1,1,"Mayne. Mlle. Berthe Antonine (""Mrs de Villiers"")",1,24.0,PC 17482,49.5042,1
200,1,0,McCaffry. Mr. Thomas Francis,0,46.0,13050,75.2417,1
201,1,0,McCarthy. Mr. Timothy J,0,54.0,17463,51.8625,0
202,1,1,McGough. Mr. James Robert,0,36.0,PC 17473,26.2875,0
203,1,0,Meyer. Mr. Edgar Joseph,0,28.0,PC 17604,82.1708,1
204,1,1,Meyer. Mrs. Edgar Joseph (Leila Saks),1,29.8811345124283,PC 17604,82.1708,1
205,1,0,Millet. Mr. Francis Davis,0,65.0,13509,26.55,0
206,1,0,Minahan. Dr. William Edward,0,44.0,19928,90.0,2
207,1,1,Minahan. Miss. Daisy E,1,33.0,19928,90.0,2
208,1,1,Minahan. Mrs. William Edward (Lillian E Thorpe),1,37.0,19928,90.0,2
209,1,1,Mock. Mr. Philipp Edmund,0,30.0,13236,57.75,1
210,1,0,Molson. Mr. Harry Markland,0,55.0,113787,30.5,0
211,1,0,Moore. Mr. Clarence Bloomfield,0,47.0,113796,42.4,0
212,1,0,Natsch. Mr. Charles H,0,37.0,PC 17596,29.7,1
213,1,1,Newell. Miss. Madeleine,1,31.0,35273,113.275,1
214,1,1,Newell. Miss. Marjorie,1,23.0,35273,113.275,1
215,1,0,Newell. Mr. Arthur Webster,0,58.0,35273,113.275,1
216,1,1,Newsom. Miss. Helen Monypeny,1,19.0,11752,26.2833,0
217,1,0,Nicholson. Mr. Arthur Ernest,0,64.0,693,26.0,0
218,1,1,Oliva y Ocana. Dona. Fermina,1,39.0,PC 17758,108.9,1
219,1,1,Omont. Mr. Alfred Fernand,0,29.8811345124283,F.C. 12998,25.7417,1
220,1,1,Ostby. Miss. Helene Ragnhild,1,22.0,113509,61.9792,1
221,1,0,Ostby. Mr. Engelhart Cornelius,0,65.0,113509,61.9792,1
222,1,0,Ovies y Rodriguez. Mr. Servando,0,28.5,PC 17562,27.7208,1
223,1,0,Parr. Mr. William Henry Marsh,0,29.8811345124283,112052,0.0,0
224,1,0,Partner. Mr. Austen,0,45.5,113043,28.5,0
225,1,0,Payne. Mr. Vivian Ponsonby,0,23.0,12749,93.5,0
226,1,0,Pears. Mr. Thomas Clinton,0,29.0,113776,66.6,0
227,1,1,Pears. Mrs. Thomas (Edith Wearne),1,22.0,113776,66.6,0
228,1,0,Penasco y Castellana. Mr. Victor de Satode,0,18.0,PC 17758,108.9,1
229,1,1,Penasco y Castellana. Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo),1,17.0,PC 17758,108.9,1
230,1,1,Perreault. Miss. Anne,1,30.0,12749,93.5,0
231,1,1,Peuchen. Major. Arthur Godfrey,0,52.0,113786,30.5,0
232,1,0,Porter. Mr. Walter Chamberlain,0,47.0,110465,52.0,0
233,1,1,Potter. Mrs. Thomas Jr (Lily Alexenia Wilson),1,56.0,11767,83.1583,1
234,1,0,Reuchlin. Jonkheer. John George,0,38.0,19972,0.0,0
235,1,1,Rheims. Mr. George Alexander Lucien,0,29.8811345124283,PC 17607,39.6,0
236,1,0,Ringhini. Mr. Sante,0,22.0,PC 17760,135.6333,1
237,1,0,Robbins. Mr. Victor,0,29.8811345124283,PC 17757,227.525,1
238,1,1,Robert. Mrs. Edward Scott (Elisabeth Walton McMillan),1,43.0,24160,211.3375,0
239,1,0,Roebling. Mr. Washington Augustus II,0,31.0,PC 17590,50.4958,0
240,1,1,"Romaine. Mr. Charles Hallace (""Mr C Rolmane"")",0,45.0,111428,26.55,0
241,1,0,Rood. Mr. Hugh Roscoe,0,29.8811345124283,113767,50.0,0
242,1,1,Rosenbaum. Miss. Edith Louise,1,33.0,PC 17613,27.7208,1
243,1,0,"Rosenshine. Mr. George (""Mr George Thorne"")",0,46.0,PC 17585,79.2,1
244,1,0,Ross. Mr. John Hugo,0,36.0,13049,40.125,1
245,1,1,Rothes. the Countess. of (Lucy Noel Martha Dyer-Edwards),1,33.0,110152,86.5,0
246,1,0,Rothschild. Mr. Martin,0,55.0,PC 17603,59.4,1
247,1,1,Rothschild. Mrs. Martin (Elizabeth L. Barrett),1,54.0,PC 17603,59.4,1
248,1,0,Rowe. Mr. Alfred G,0,33.0,113790,26.55,0
249,1,1,Ryerson. Master. John Borie,0,13.0,PC 17608,262.375,1
250,1,1,Ryerson. Miss. Emily Borie,1,18.0,PC 17608,262.375,1
